# Gene-Names	Median-Attributions	Corrected P-values (FDR <= 1%)
ENSG00000091436	0.00013312634965397698	5.009444373251317e-75
ENSG00000160179	-0.00022046840572922138	5.338864251824405e-75
ENSG00000113594	-1.148706774605121e-06	1.0990962375442824e-74
ENSG00000197471	-0.00013042204553730452	1.4438230293565035e-74
ENSG00000126804	0.000298619607429408	1.5153061910429576e-74
ENSG00000196218	-0.0002968273148562967	2.7098912536506942e-74
ENSG00000135392	-0.0003980374141980427	2.8634530229655276e-74
ENSG00000198947	4.5815579183613736e-05	3.186516678415501e-74
ENSG00000128242	0.00037711916285494235	5.382366415498209e-74
ENSG00000183530	-0.00028023363072648494	5.71051891530636e-74
ENSG00000183486	0.000386686234558822	5.783975400577794e-74
ENSG00000117360	0.00043330072231148457	6.145548888982392e-74
ENSG00000033327	-6.725556144549135e-05	6.734668313146045e-74
ENSG00000134853	0.0001257466490484205	1.7236121914977942e-73
ENSG00000090581	0.0005491468178043838	1.8051021542208516e-73
ENSG00000153071	0.00014605878517645466	2.271135038690522e-73
ENSG00000144029	0.00033344583102159266	2.5438236632578768e-73
ENSG00000183718	0.0004960089435657645	4.810590899667576e-73
ENSG00000110665	0.00026828046910030024	5.797306085954953e-73
ENSG00000155962	0.0004149773272183697	6.466564932829473e-73
ENSG00000082805	-0.0003136612126094751	7.455425887007091e-73
ENSG00000185917	0.00031363848608578684	9.330449677190032e-73
ENSG00000168646	0.00013235655988721198	1.6990018728663072e-72
ENSG00000143379	0.00020160184614105228	2.347363344064433e-72
ENSG00000010810	0.0003532668445950339	2.7517189464209537e-72
ENSG00000067141	-0.0001479412977001388	3.683367589887012e-72
ENSG00000046651	0.0005780865332950254	3.858347864511051e-72
ENSG00000086758	-0.0003117770311001365	8.51635414908965e-72
ENSG00000153162	-7.564268170349875e-05	1.1231701668902138e-71
ENSG00000198910	0.00017961888882920125	1.257694586196985e-71
ENSG00000119650	0.00044227424522166024	2.4772279326439235e-71
ENSG00000100154	0.00020217902978716514	3.2470314359365692e-71
ENSG00000270181	0.0005335353058863426	3.6164285341409e-71
ENSG00000255339	0.00012435355833418353	7.257792569171792e-71
ENSG00000141384	-1.494194922508265e-05	9.888116613788207e-71
ENSG00000135945	0.0002568899251208015	1.010247033261224e-70
ENSG00000146373	0.0005226878810895364	1.4080049631300056e-70
ENSG00000182985	-0.00029608646313005626	1.4109212069249817e-70
ENSG00000159674	0.00033013615689924736	2.15045033030425e-70
ENSG00000091831	-0.0002497214321881295	3.722135607990269e-70
ENSG00000143669	5.1509567851633016e-05	4.599384370118021e-70
ENSG00000136630	0.0004522510300348496	5.679590010733592e-70
ENSG00000273173	-0.00013307362412626824	7.439711238604023e-70
ENSG00000100068	0.00045906563257773643	1.1029446993089265e-69
ENSG00000204381	3.265625175008851e-05	1.5688679911482324e-69
ENSG00000113580	-5.735952175445887e-05	1.601581092365937e-69
ENSG00000173068	0.00017634504848975763	2.1342130860439716e-69
ENSG00000090554	0.00033305544548197847	2.7052083858061314e-69
ENSG00000107863	0.00034536595078892674	3.233535716585351e-69
ENSG00000162971	0.0004068298622810251	3.26878064818759e-69
ENSG00000103319	-0.0003850007043862505	3.530418703893158e-69
ENSG00000171466	0.0002737868155056682	4.851611159146686e-69
ENSG00000197296	-8.864696363378444e-05	6.250948584722319e-69
ENSG00000120458	0.0004915448266343471	9.084435254846502e-69
ENSG00000246922	0.0002676098555529373	1.1690539247250044e-68
ENSG00000163714	0.00034481057545187926	1.3915118659800458e-68
ENSG00000215252	0.00042704249045481677	1.408324710469766e-68
ENSG00000106404	0.0004911843297325214	2.0160067257320706e-68
ENSG00000123444	-0.00031173210872472833	2.1801310629073708e-68
ENSG00000162601	0.0005588435069334693	2.2115403853201515e-68
ENSG00000105499	0.000248702181809332	4.0688526663589225e-68
ENSG00000157657	-0.00010728205926762222	5.9877389492752125e-68
ENSG00000173889	0.00011657653648973728	8.062231066335906e-68
ENSG00000138756	8.963104198109286e-05	1.2348751340570448e-67
ENSG00000102409	0.00023503733073923996	1.6450416536485954e-67
ENSG00000166337	0.0002796493474413463	1.7706037653643825e-67
ENSG00000173867	0.0002518097311035108	1.8011876279633068e-67
ENSG00000103657	-0.00024170137990495394	1.9054861973242642e-67
ENSG00000110076	-0.00016987181438822698	2.0483807941933424e-67
ENSG00000132274	0.0003506351286553874	2.5340169636793542e-67
ENSG00000112531	0.00027906215096415237	2.7075827801406347e-67
ENSG00000134202	-1.0509221363753024e-05	3.574772791293527e-67
ENSG00000198393	0.000595672673991296	4.0960745174868176e-67
ENSG00000124151	4.9206835580242736e-05	4.529800568434757e-67
ENSG00000140961	-0.00023141153338476927	6.880815304068108e-67
ENSG00000138802	0.00027858145736053374	9.343080477101217e-67
ENSG00000111729	0.0003703240111366062	1.098320724583418e-66
ENSG00000124942	-1.4217105724492149e-05	1.3253050812234515e-66
ENSG00000090054	-0.00022851571009008728	1.4038342751992885e-66
ENSG00000196199	0.00031458344652055936	1.6864268842895157e-66
ENSG00000076650	0.00022572679048163096	1.7458025707270317e-66
ENSG00000115183	0.0001826602942278256	1.807266378946094e-66
